WICOR name	COR name	parameter	units	module
SA2	SA-2	Salinity; PORT ssw	PSU	TSG23
SD2	SD-2	Sigma t; PORT ssw	kg/m^3	TSG23
SV2	SV-2	Sound Velocity; PORT ssw	m/s	TSG23
TG2	TG-2	Thermosalinograph conductivity; PORT ssw	mS/cm	TSG23
FI2	FI-2	Flow meter; PORT ssw	L/m	FLW23
FL1	FL-2	Fluorometer chlorophyll a; PORT ssw	ug/L	FLU24
FL1	FL-3	Fluorometer phycoerytherin; PORT ssw		FLU24
FL1	FL-4	Fluorometer CDOM; Port ssw		FLU24
OC2	OC-2	Oxygen Current; PORT ssw	ua	OXY24
OT2	OT-2	Oxygen Temperature; PORT ssw	degC	OXY24
OX2	OX-2	Oxygen; PORT ssw	mL/L	OXY24
OS2	OS-2	Oxygen Saturation Value; PORT ssw	mL/L	OXY24
TR2	TR	Transmissivity; PORT ssw	%	XMS22
BA2	BA	Beam Attenuation; PORT ssw		XMS22
LA1	LA	Latitude; HCO SEAPATH-330		NME24
LO1	LO	Longitude; HCO SEAPATH-330		NME24
GT1	GT	GPS time of day; HCO SEAPATH-330	seconds since midnight	NME24
CR1	CR	GPS COG; HCO SEAPATH-330		NME24
SP1	SP	GPS SOG knots; HCO SEAPATH-330		NME24
ZD1	ZD	GPS date/time; HCO SEAPATH-330	seconds since 1970-01-01	NME24
GA1	GA	GPS altitude; HCO SEAPATH-330		NME24
GS1	GS	GPS status; HCO SEAPATH-330		NME24
LA1	LA-2	Latitude; HCO POSMV-320		NME23
LO1	LO-2	Longitude; HCO POSMV-320		NME23
GT1	GT-2	GPS time of day; HCO POSMV-320	seconds since midnight	NME23
CR1	CR-2	GPS COG; HCO POSMV-320		NME23
SP1	SP-2	GPS SOG knots; HCO POSMV-320		NME23
ZD9	ZD-2	GPS date/time; HCO POSMV-320	seconds since 1970-01-01	NME23
GA1	GA-2	GPS altitude; HCO POSMV-320		NME23
GS1	GS-2	GPS status; HCO POSMV-320		NME23
LA1	LA-3	Latitude; Computer lab  ADU-5 Ashtech		NME22
LO1	LO-3	Longitude; Computer lab  ADU-5 Ashtech		NME22
GT1	GT-3	GPS time of day; Computer lab  ADU-5 Ashtech	seconds since midnight	NME22
CR1	CR-3	GPS COG; Computer lab  ADU-5 Ashtech; offline		NME22
SP1	SP-3	GPS SOG knots; Computer lab  ADU-5 Ashtech; offline		NME22
ZD1	ZD-3	GPS date/time; Computer lab  ADU-5 Ashtech; offline		NME22
GA1	GA-3	GPS altitude; Computer lab  ADU-5 Ashtech		NME22
GS1	GS-3	GPS status; Computer lab  ADU-5 Ashtech		NME22
LA1	LA-4	Latitude; HCO AG-132		NME21
LO1	LO-4	Longitude; HCO AG-132		NME21
GT1	GT-4	GPS time of day; HCO AG-132	seconds since midnight	NME21
CR1	CR-4	GPS COG; HCO AG-132		NME21
SP1	SP-4	GPS SOG knots; HCO AG-132		NME21
ZD1	ZD-4	GPS date/time; HCO AG-132	seconds since 1989-08-17	NME21
GA1	GA-4	GPS altitude; HCO AG-132		NME21
GS1	GS-4	GPS status; HCO AG-132		NME21
GY1	GY	Gyrocompass Bridge MK39		GYR26
GY1	GY-2	Gyrocompass Bridge MK27		GYR27
GY1	GY-3	Gyrocompass HCO POSMV-320		GYR05
GY1	GY-4	Gyrocompass HCO SEAPATH 330+		GYR06
SL9	SL	Ships speed log; offline	longitudinal knots	SOW01
SX9	SX	Ships speed log transverse; offline		SOW01
BT2	BT	Bottom Depth; offline	m	SND01
LF2	LF	Depth sounder 3.5kz; offline	m	SND01
HF9	HF	Depth Sounder 12khz; offline	m	SND01
MB1	MB	Multibeam Depth; offline	m	MBD01
ZO1	ZO	Winch Wire out; CTD Winch .322 Cable		WCH01
ZS1	ZS	Winch speed; CTD Winch .322 Cable		WCH01
ZT1	ZT	Winch Tension; CTD Winch .322 Cable		WCH01
ZI1	ZI	Winch ZI; CTD Winch .322 Cable		WCH01
ZO1	ZO-2	"Winch Wire out; 3/8"" Winch"		WCH02
ZS1	ZS-2	"Winch speed; 3/8"" Winch"		WCH02
ZT1	ZT-2	"Winch Tension; 3/8"" Winch"		WCH02
ZI1	ZI-2	"Winch ZI; 3/8"" Winch"		WCH02
ZO1	ZO-3	Winch Wire out; .680 Winch		WCH03
ZS1	ZS-3	Winch speed; .680 Winch		WCH03
ZT1	ZT-3	Winch Tension; .680 Winch		WCH03
ZI1	ZI-3	Winch ZI; .680 Winch		WCH03
ZO1	ZO-4	"Winch Wire out; 9/16"" Winch"		WCH04
ZS1	ZS-4	"Winch speed; 9/16"" Winch"		WCH04
ZT1	ZT-4	"Winch Tension; 9/16"" Winch"		WCH04
ZI1	ZI-4	"Winch ZI; 9/16"" Winch"		WCH04
GC9	GC	Gravitymeter 		GRV01
#*		hex string; end of line		
